snno,District,Market,Crop,Variety,Grade,Min_Price,Max_Price,Model_Price,Date,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
81,Pune,Pune,Onion,Local,FAQ,600,2000,1300.0,2024-01-16,"Pune, MH, India",88.0,53.0,68.9,86.9,53.0,68.7,52.4,59.8,0.0,0,0.0,,0,0,17.2,6.7,256.2,1012.6,19.7,11.3,230.4,19.9,8,10,2024-01-16T07:09:58,2024-01-16T18:18:27,0.17,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
83,Pune,Pune,Onion,Local,FAQ,600,2000,1300.0,2024-01-17,"Pune, MH, India",86.2,55.7,69.0,88.5,55.7,69.0,55.7,65.5,0.0,0,0.0,,0,0,20.1,8.5,255.8,1011.7,2.4,11.4,228.5,19.7,8,10,2024-01-17T07:10:01,2024-01-17T18:19:06,0.2,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43067099999,43060099999"
85,Pune,Pune,Onion,Local,FAQ,600,2000,1300.0,2024-01-18,"Pune, MH, India",81.2,53.9,66.8,80.6,53.9,66.7,55.8,71.2,0.0,0,0.0,,0,0,17.7,6.7,261.0,1013.4,22.1,11.2,225.4,19.4,8,10,2024-01-18T07:10:03,2024-01-18T18:19:44,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43067099999,43060099999"
92,Pune,Pune,Onion,Local,FAQ,700,1900,1300.0,2024-01-19,"Pune, MH, India",87.1,54.2,68.3,85.1,54.2,68.2,56.2,68.9,0.0,0,0.0,,0,0,22.1,11.4,239.2,1013.4,14.0,11.3,222.6,19.0,8,10,2024-01-19T07:10:04,2024-01-19T18:20:21,0.27,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
,,,,,,,,,2024-01-20,"Pune, MH, India",86.1,58.4,69.6,85.1,58.4,69.6,57.3,67.7,0.0,0,0.0,,0,0,23.3,10.5,256.5,1014.2,4.8,11.3,224.3,19.2,8,10,2024-01-20T07:10:04,2024-01-20T18:20:59,0.31,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
57,Pune,Pune,Onion,Local,FAQ,600,1700,1150.0,2024-01-21,"Pune, MH, India",83.5,57.5,69.2,83.4,57.5,69.2,56.6,67.1,0.0,0,0.0,,0,0,18.3,6.9,96.6,1014.6,29.0,11.3,227.8,19.8,8,10,2024-01-21T07:10:02,2024-01-21T18:21:36,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
39,Pune,Pune,Onion,Local,FAQ,500,1700,1100.0,2024-01-22,"Pune, MH, India",87.9,56.9,69.7,87.7,56.9,69.6,56.5,66.4,0.0,0,0.0,,0,0,22.6,8.9,221.4,1015.1,72.4,11.3,230.7,20.0,8,10,2024-01-22T07:09:59,2024-01-22T18:22:13,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
53,Pune,Pune,Onion,Local,FAQ,600,1600,1100.0,2024-01-23,"Pune, MH, India",82.7,54.8,67.0,82.1,54.8,66.9,52.5,64.9,0.0,0,0.0,,0,0,16.6,5.6,358.5,1015.1,50.1,11.3,233.2,20.2,8,10,2024-01-23T07:09:54,2024-01-23T18:22:50,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
31,Pune,Pune,Onion,Local,FAQ,500,1600,1050.0,2024-01-24,"Pune, MH, India",81.7,53.0,65.8,80.5,53.0,65.7,49.0,58.2,0.0,0,0.0,,0,0,19.7,6.5,65.2,1015.3,38.1,11.3,237.4,20.6,8,10,2024-01-24T07:09:49,2024-01-24T18:23:27,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
41,Pune,Pune,Onion,Local,FAQ,500,1700,1100.0,2024-01-25,"Pune, MH, India",81.2,51.2,65.8,80.2,51.2,65.7,46.2,52.6,0.0,0,0.0,,0,0,18.8,6.5,80.0,1016.6,1.7,11.2,239.5,20.6,9,10,2024-01-25T07:09:42,2024-01-25T18:24:03,0.5,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43067099999,43060099999"
,,,,,,,,,2024-01-26,"Pune, MH, India",86.1,51.9,67.8,85.1,51.9,67.7,52.1,59.6,0.0,0,0.0,,0,0,17.9,6.7,80.3,1017.7,33.2,11.3,233.0,20.1,8,10,2024-01-26T07:09:34,2024-01-26T18:24:39,0.52,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
,,,,,,,,,2024-01-27,"Pune, MH, India",85.7,56.9,70.0,84.7,56.9,69.9,55.0,61.7,0.0,0,0.0,,0,0,18.1,6.0,75.5,1017.7,76.8,11.3,231.6,20.0,8,10,2024-01-27T07:09:25,2024-01-27T18:25:15,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
3,Pune,Pune,Onion,Local,FAQ,400,1400,900.0,2024-01-28,"Pune, MH, India",87.1,57.5,72.1,85.5,57.5,72.0,56.2,60.4,0.0,0,0.0,,0,0,16.3,5.8,53.2,1016.8,57.2,11.0,228.9,19.8,8,10,2024-01-28T07:09:14,2024-01-28T18:25:50,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
4,Pune,Pune,Onion,Local,FAQ,400,1400,900.0,2024-01-29,"Pune, MH, India",86.6,59.3,72.2,86.2,59.3,72.0,54.5,56.3,0.0,0,0.0,,0,0,14.5,4.7,0.5,1016.3,83.0,11.3,231.2,20.1,8,10,2024-01-29T07:09:03,2024-01-29T18:26:24,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
5,Pune,Pune,Onion,Local,FAQ,400,1400,900.0,2024-01-30,"Pune, MH, India",87.1,56.9,71.5,84.8,56.9,71.3,54.4,57.9,0.0,0,0.0,,0,0,17.9,6.3,310.0,1015.3,27.0,11.3,234.5,20.2,8,10,2024-01-30T07:08:50,2024-01-30T18:26:59,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
56,Pune,Pune,Onion,Local,FAQ,600,1600,1100.0,2024-01-31,"Pune, MH, India",84.8,58.7,71.3,83.3,58.7,71.0,53.6,56.7,0.0,0,0.0,,0,0,22.1,9.4,263.8,1015.1,46.3,11.1,237.8,20.5,8,10,2024-01-31T07:08:35,2024-01-31T18:27:33,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
32,Pune,Pune,Onion,Local,FAQ,500,1700,1100.0,2024-02-01,"Pune, MH, India",84.3,54.8,68.4,87.6,54.8,68.5,55.0,65.6,0.0,0,0.0,,0,0,18.1,6.9,272.8,1015.9,13.9,11.3,242.8,20.8,9,10,2024-02-01T07:08:20,2024-02-01T18:28:06,0.71,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
35,Pune,Pune,Onion,Local,FAQ,500,1700,1100.0,2024-02-02,"Pune, MH, India",84.3,56.9,68.8,82.5,56.9,68.6,54.9,65.9,0.0,0,0.0,,0,0,19.5,6.9,50.6,1016.1,11.2,11.3,241.2,20.8,9,10,2024-02-02T07:08:03,2024-02-02T18:28:39,0.75,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
,,,,,,,,,2024-02-03,"Pune, MH, India",87.2,56.6,70.8,85.3,56.6,70.5,54.0,58.7,0.0,0,0.0,,0,0,24.2,10.3,76.8,1016.2,0.2,11.3,240.7,20.8,9,10,2024-02-03T07:07:46,2024-02-03T18:29:12,0.75,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
36,Pune,Pune,Onion,Local,FAQ,500,1700,1100.0,2024-02-04,"Pune, MH, India",89.8,59.1,73.9,89.9,59.1,74.0,57.9,59.8,0.0,0,0.0,,0,0,19.0,6.7,98.8,1016.7,8.6,11.3,231.8,19.9,8,10,2024-02-04T07:07:27,2024-02-04T18:29:44,0.81,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
61,Pune,Pune,Onion,Local,FAQ,600,1800,1200.0,2024-02-05,"Pune, MH, India",93.8,63.2,76.6,91.6,63.2,76.3,58.8,57.4,0.0,0,0.0,,0,0,17.9,6.9,303.9,1016.5,7.9,11.1,235.0,20.2,8,10,2024-02-05T07:07:07,2024-02-05T18:30:15,0.85,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43067099999,43060099999"
37,Pune,Pune,Onion,Local,FAQ,500,1700,1100.0,2024-02-06,"Pune, MH, India",92.9,62.3,75.9,91.5,62.3,75.5,56.7,54.6,0.0,0,0.0,,0,0,16.6,6.9,299.6,1016.2,0.5,11.2,240.8,20.7,9,10,2024-02-06T07:06:45,2024-02-06T18:30:46,0.88,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43067099999,43060099999"
22,Pune,Pune,Onion,Local,FAQ,500,1600,1050.0,2024-02-07,"Pune, MH, India",93.4,62.7,75.0,94.2,62.7,74.6,56.6,57.1,0.0,0,0.0,,0,0,18.3,8.1,339.0,1016.7,1.9,11.3,245.5,21.2,9,10,2024-02-07T07:06:23,2024-02-07T18:31:17,0.91,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43067099999,43060099999"
23,Pune,Pune,Onion,Local,FAQ,500,1600,1050.0,2024-02-08,"Pune, MH, India",89.6,59.3,72.8,88.3,59.3,72.5,55.9,58.8,0.0,0,0.0,,0,0,16.8,6.0,42.4,1016.4,21.7,11.3,248.8,21.5,9,10,2024-02-08T07:06:00,2024-02-08T18:31:47,0.94,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
24,Pune,Pune,Onion,Local,FAQ,500,1600,1050.0,2024-02-09,"Pune, MH, India",91.5,57.8,73.2,88.5,57.8,72.4,53.6,56.0,0.0,0,0.0,,0,0,18.3,8.1,322.3,1015.3,7.4,11.1,253.8,21.9,9,10,2024-02-09T07:05:35,2024-02-09T18:32:17,0.98,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43067099999,43060099999"
,,,,,,,,,2024-02-10,"Pune, MH, India",94.3,57.3,73.5,90.1,57.3,72.6,51.8,52.4,0.0,0,0.0,,0,0,18.6,7.8,304.9,1016.2,0.0,11.5,256.0,22.2,9,10,2024-02-10T07:05:09,2024-02-10T18:32:46,0.0,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
7,Pune,Pune,Onion,Local,FAQ,400,1600,1000.0,2024-02-11,"Pune, MH, India",91.1,55.5,72.0,88.8,55.5,71.2,50.5,51.9,0.0,0,0.0,,0,0,14.5,7.4,308.3,1016.6,20.1,12.0,255.2,22.1,9,10,2024-02-11T07:04:43,2024-02-11T18:33:14,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
25,Pune,Pune,Onion,Local,FAQ,500,1600,1050.0,2024-02-12,"Pune, MH, India",89.9,57.3,72.9,86.3,57.3,72.0,50.5,50.1,0.0,0,0.0,,0,0,15.9,7.4,298.3,1015.9,79.7,11.3,250.1,21.5,9,10,2024-02-12T07:04:15,2024-02-12T18:33:42,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43067099999,43060099999"
26,Pune,Pune,Onion,Local,FAQ,500,1600,1050.0,2024-02-13,"Pune, MH, India",90.7,57.5,72.6,87.1,57.5,71.7,49.5,48.6,0.0,0,0.0,,0,0,17.2,5.8,291.0,1015.7,82.1,11.2,248.3,21.3,9,10,2024-02-13T07:03:46,2024-02-13T18:34:10,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43067099999,43060099999"
27,Pune,Pune,Onion,Local,FAQ,500,1600,1050.0,2024-02-14,"Pune, MH, India",87.2,58.4,71.8,84.7,58.4,71.2,51.2,51.7,0.0,0,0.0,,0,0,17.2,6.0,29.5,1015.5,86.8,11.1,237.4,20.6,8,10,2024-02-14T07:03:17,2024-02-14T18:34:36,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43067099999,43060099999"
28,Pune,Pune,Onion,Local,FAQ,500,1600,1050.0,2024-02-15,"Pune, MH, India",89.7,59.1,74.1,88.1,59.1,73.7,55.2,54.3,0.0,0,0.0,,0,0,24.2,9.4,69.2,1014.6,47.1,11.2,229.7,20.0,9,10,2024-02-15T07:02:46,2024-02-15T18:35:03,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43067099999,43060099999"
29,Pune,Pune,Onion,Local,FAQ,500,1600,1050.0,2024-02-16,"Pune, MH, India",92.9,64.7,76.7,90.2,64.7,75.9,55.6,52.1,0.0,0,0.0,,0,0,22.1,6.3,94.3,1014.7,26.3,11.3,235.9,20.2,9,10,2024-02-16T07:02:14,2024-02-16T18:35:29,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
,,,,,,,,,2024-02-17,"Pune, MH, India",93.4,61.4,76.8,89.4,61.4,75.8,54.1,50.6,0.0,0,0.0,,0,0,17.9,6.0,146.0,1013.8,17.0,11.3,256.0,22.2,9,10,2024-02-17T07:01:42,2024-02-17T18:35:54,0.25,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
30,Pune,Pune,Onion,Local,FAQ,500,1600,1050.0,2024-02-18,"Pune, MH, India",92.5,61.1,77.0,89.1,61.1,75.9,52.8,47.1,0.0,0,0.0,,0,0,13.6,6.0,291.3,1012.5,1.9,11.7,261.1,22.5,9,10,2024-02-18T07:01:08,2024-02-18T18:36:19,0.29,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43067099999,43060099999"
73,Pune,Pune,Onion,Local,FAQ,600,1800,1200.0,2024-02-19,"Pune, MH, India",92.0,59.6,76.2,88.1,59.6,75.2,51.9,47.9,0.0,0,0.0,,0,0,17.2,8.5,297.2,1013.2,2.7,11.3,263.4,22.5,9,10,2024-02-19T07:00:34,2024-02-19T18:36:43,0.32,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
109,Pune,Pune,Onion,Local,FAQ,800,2400,1600.0,2024-02-20,"Pune, MH, India",92.9,56.9,75.1,88.9,56.9,74.1,48.8,42.7,0.0,0,0.0,,0,0,22.6,9.8,294.3,1013.7,21.8,11.5,266.6,23.0,9,10,2024-02-20T06:59:58,2024-02-20T18:37:07,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
88,Pune,Pune,Onion,Local,FAQ,600,2000,1300.0,2024-02-21,"Pune, MH, India",89.3,59.1,72.9,85.8,59.1,72.3,53.7,54.6,0.0,0,0.0,,0,0,24.2,10.3,288.1,1013.3,6.8,11.5,269.0,23.2,9,10,2024-02-21T06:59:22,2024-02-21T18:37:30,0.39,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
38,Pune,Pune,Onion,Local,FAQ,500,1700,1100.0,2024-02-22,"Pune, MH, India",88.0,57.3,71.9,84.6,57.3,71.3,55.0,61.0,0.0,0,0.0,,0,0,23.5,9.6,294.0,1013.7,21.1,11.4,268.3,23.0,9,10,2024-02-22T06:58:45,2024-02-22T18:37:53,0.42,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43063099999,43111099999,remote,43067099999,43060099999"
40,Pune,Pune,Onion,Local,FAQ,500,1700,1100.0,2024-02-23,"Pune, MH, India",88.4,54.8,71.5,85.2,54.8,70.8,50.4,52.0,0.0,0,0.0,,0,0,15.0,5.1,313.7,1013.6,0.0,11.4,275.0,23.5,9,10,2024-02-23T06:58:08,2024-02-23T18:38:15,0.46,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43067099999,43060099999"
,,,,,,,,,2024-02-24,"Pune, MH, India",91.1,56.0,71.9,87.4,56.0,70.9,47.2,48.0,0.0,0,0.0,,0,0,19.0,9.2,320.4,1012.8,0.4,11.5,276.4,23.9,10,10,2024-02-24T06:57:29,2024-02-24T18:38:37,0.5,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
110,Pune,Pune,Onion,Local,FAQ,800,2400,1600.0,2024-02-25,"Pune, MH, India",88.8,53.7,72.4,85.9,53.7,71.5,43.6,38.1,0.0,0,0.0,,0,0,19.0,5.6,77.9,1011.9,0.0,11.4,272.3,23.6,9,10,2024-02-25T06:56:50,2024-02-25T18:38:59,0.53,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43067099999,43060099999"
,,,,,,,,,2024-02-26,"Pune, MH, India",92.5,59.6,76.1,91.9,59.6,75.8,54.2,48.4,0.0,0,0.0,,0,0,20.6,6.5,134.6,1011.6,19.1,11.3,262.8,22.7,9,10,2024-02-26T06:56:10,2024-02-26T18:39:20,0.56,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
98,Pune,Pune,Onion,Local,FAQ,700,2100,1400.0,2024-02-27,"Pune, MH, India",92.0,66.3,78.7,90.6,66.3,78.4,58.2,51.6,0.004,100,4.17,rain,0,0,20.6,7.8,293.7,1012.7,38.3,11.4,238.9,20.6,9,10,2024-02-27T06:55:29,2024-02-27T18:39:40,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43063099999,43111099999,remote,43067099999,43060099999"
45,Pune,Pune,Onion,Local,FAQ,500,1900,1200.0,2024-02-28,"Pune, MH, India",92.9,65.0,78.1,92.7,65.0,78.0,59.3,54.5,0.004,100,4.17,rain,0,0,20.8,5.8,53.5,1012.5,23.2,11.4,236.9,20.6,8,10,2024-02-28T06:54:48,2024-02-28T18:40:00,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43063099999,43111099999,remote,43067099999,43060099999"
58,Pune,Pune,Onion,Local,FAQ,600,1800,900.0,2024-02-29,"Pune, MH, India",95.1,66.8,79.2,92.0,66.8,78.5,57.8,51.4,0.0,0,0.0,,0,0,23.9,8.7,83.8,1012.4,27.4,11.7,218.2,18.9,8,10,2024-02-29T06:54:06,2024-02-29T18:40:20,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43067099999,43060099999"
33,Pune,Pune,Onion,Local,FAQ,500,1700,1100.0,2024-03-01,"Pune, MH, India",95.2,69.9,79.5,93.1,69.9,79.1,59.4,53.0,0.028,100,8.33,rain,0,0,19.0,7.2,269.5,1012.9,45.6,11.1,242.6,21.0,9,10,2024-03-01T06:53:23,2024-03-01T18:40:39,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43063099999,43111099999,remote,43067099999,43060099999"
,,,,,,,,,2024-03-02,"Pune, MH, India",91.5,65.9,76.9,88.7,65.9,76.6,58.8,56.4,0.0,0,0.0,,0,0,29.3,12.8,269.1,1013.1,17.0,11.5,240.3,20.8,8,10,2024-03-02T06:52:40,2024-03-02T18:40:58,0.73,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
60,Pune,Pune,Onion,Local,FAQ,600,1800,1200.0,2024-03-03,"Pune, MH, India",87.1,64.8,74.3,86.1,64.8,74.3,61.9,68.7,0.0,0,0.0,,0,0,26.4,11.0,276.5,1013.3,25.6,11.5,255.3,22.0,9,10,2024-03-03T06:51:57,2024-03-03T18:41:16,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
75,Pune,Pune,Onion,Local,FAQ,600,2000,1300.0,2024-03-04,"Pune, MH, India",92.0,57.8,72.4,88.7,57.8,71.5,52.5,57.2,0.0,0,0.0,,0,0,21.9,9.2,293.5,1013.4,24.5,11.4,284.2,24.5,10,10,2024-03-04T06:51:12,2024-03-04T18:41:34,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43067099999,43060099999"
62,Pune,Pune,Onion,Local,FAQ,600,1800,1200.0,2024-03-05,"Pune, MH, India",92.0,57.5,73.6,88.4,57.5,72.6,49.5,47.6,0.0,0,0.0,,0,0,21.5,9.6,298.1,1013.4,1.4,11.4,284.1,24.5,10,10,2024-03-05T06:50:27,2024-03-05T18:41:52,0.83,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43067099999,43060099999"
